Timestamp,ActivePowerConsumption,Returned energy Wh
2021-05-23 10:00,46.40,0.00
2021-05-23 10:10,51.50,0.00
2021-05-23 10:20,51.60,0.00
2021-05-23 10:30,44.10,0.00
2021-05-23 10:40,44.00,0.00
2021-05-23 10:50,44.40,0.00
2021-05-23 11:00,44.10,0.00
2021-05-23 11:10,52.30,0.00
2021-05-23 11:20,57.50,0.00
2021-05-23 11:30,50.40,0.00
2021-05-23 11:40,50.30,0.00
2021-05-23 11:50,44.20,0.00
2021-05-23 12:00,44.30,0.00
2021-05-23 12:10,52.50,0.00
2021-05-23 12:20,50.30,0.00
2021-05-23 12:30,44.00,0.00
2021-05-23 12:40,44.20,0.00
2021-05-23 12:50,44.00,0.00
2021-05-23 13:00,47.50,0.00
2021-05-23 13:10,59.80,0.00
2021-05-23 13:20,55.90,0.00
2021-05-23 13:30,50.50,0.00
2021-05-23 13:40,50.70,0.00
2021-05-23 13:50,50.40,0.00
2021-05-23 14:00,50.60,0.00
2021-05-23 14:10,60.10,0.00
2021-05-23 14:20,49.00,0.00
2021-05-23 14:30,43.80,0.00
2021-05-23 14:40,50.60,0.00
2021-05-23 14:50,60.10,0.00
2021-05-23 15:00,60.40,0.00
2021-05-23 15:10,75.40,0.00
2021-05-23 15:20,69.50,0.00
2021-05-23 15:30,65.70,0.00
2021-05-23 15:40,68.10,0.00
2021-05-23 15:50,65.40,0.00
2021-05-23 16:00,68.80,0.00
2021-05-23 16:10,86.90,0.00
2021-05-23 16:20,79.00,0.00
2021-05-23 16:30,70.40,0.00
2021-05-23 16:40,67.10,0.00
2021-05-23 16:50,67.60,0.00
2021-05-23 17:00,64.50,0.00
2021-05-23 17:10,56.10,0.00
2021-05-23 17:20,55.60,0.00
2021-05-23 17:30,51.80,0.00
2021-05-23 17:40,51.50,0.00
2021-05-23 17:50,51.80,0.00
2021-05-23 18:00,48.80,0.00
2021-05-23 18:10,57.00,0.00
2021-05-23 18:20,49.00,0.00
2021-05-23 18:30,45.50,0.00
2021-05-23 18:40,45.50,0.00
2021-05-23 18:50,45.40,0.00
2021-05-23 19:00,51.50,0.00
2021-05-23 19:10,62.10,0.00
2021-05-23 19:20,53.80,0.00
2021-05-23 19:30,52.70,0.00
2021-05-23 19:40,54.90,0.00
2021-05-23 19:50,49.40,0.00
2021-05-23 20:00,51.80,0.00
2021-05-23 20:10,60.10,0.00
2021-05-23 20:20,50.20,0.00
2021-05-23 20:30,49.30,0.00
2021-05-23 20:40,49.20,0.00
2021-05-23 20:50,56.00,0.00
2021-05-23 21:00,59.80,0.00
2021-05-23 21:10,66.30,0.00
2021-05-23 21:20,55.40,0.00
2021-05-23 21:30,55.50,0.00
2021-05-23 21:40,55.90,0.00
2021-05-23 21:50,55.90,0.00
2021-05-23 22:00,61.20,0.00
2021-05-23 22:10,65.90,0.00
2021-05-23 22:20,49.70,0.00
2021-05-23 22:30,49.40,0.00
2021-05-23 22:40,49.10,0.00
2021-05-23 22:50,49.20,0.00
2021-05-23 23:00,56.20,0.00
2021-05-23 23:10,57.30,0.00
2021-05-23 23:20,49.40,0.00
2021-05-23 23:30,49.30,0.00
2021-05-23 23:40,49.50,0.00
2021-05-23 23:50,49.30,0.00
2021-05-24 00:00,56.60,0.00
2021-05-24 00:10,56.10,0.00
2021-05-24 00:20,50.00,0.00
2021-05-24 00:30,51.70,0.00
2021-05-24 00:40,50.60,0.00
2021-05-24 00:50,50.90,0.00
2021-05-24 01:00,57.30,0.00
2021-05-24 01:10,59.30,0.00
2021-05-24 01:20,50.80,0.00
2021-05-24 01:30,50.80,0.00
2021-05-24 01:40,50.60,0.00
2021-05-24 01:50,50.40,0.00
2021-05-24 02:00,61.60,0.00
2021-05-24 02:10,64.30,0.00
2021-05-24 02:20,55.40,0.00
2021-05-24 02:30,53.80,0.00
2021-05-24 02:40,52.60,0.00
2021-05-24 02:50,51.70,0.00
2021-05-24 03:00,57.90,0.00
2021-05-24 03:10,50.00,0.00
2021-05-24 03:20,45.00,0.00
2021-05-24 03:30,44.90,0.00
2021-05-24 03:40,44.80,0.00
2021-05-24 03:50,46.50,0.00
2021-05-24 04:00,49.70,0.00
2021-05-24 04:10,37.10,0.00
2021-05-24 04:20,41.40,0.00
2021-05-24 04:30,41.20,0.00
2021-05-24 04:40,41.20,0.00
2021-05-24 04:50,56.00,0.00
2021-05-24 05:00,706.00,0.00
2021-05-24 05:10,357.80,0.00
2021-05-24 05:20,234.60,0.00
2021-05-24 05:30,297.00,0.00
2021-05-24 05:40,354.50,0.00
2021-05-24 05:50,453.00,0.00
2021-05-24 06:00,261.10,0.00
2021-05-24 06:10,283.40,0.00
2021-05-24 06:20,284.10,0.00
2021-05-24 06:30,322.90,0.00
2021-05-24 06:40,158.90,0.00
2021-05-24 06:50,171.50,0.00
2021-05-24 07:00,244.00,0.00
2021-05-24 07:10,205.30,0.00
2021-05-24 07:20,192.00,0.00
2021-05-24 07:30,154.70,0.00
2021-05-24 07:40,154.30,0.00
2021-05-24 07:50,144.80,0.00
2021-05-24 08:00,153.60,0.00
2021-05-24 08:10,198.80,0.00
2021-05-24 08:20,250.40,0.00
2021-05-24 08:30,193.00,0.00
2021-05-24 08:40,189.10,0.00
2021-05-24 08:50,162.70,0.00
2021-05-24 09:00,207.50,0.00
2021-05-24 09:10,189.00,0.00
2021-05-24 09:20,220.90,0.00
2021-05-24 09:30,197.10,0.00
2021-05-24 09:40,194.90,0.00
2021-05-24 09:50,259.60,0.00
2021-05-24 10:00,373.90,0.00
2021-05-24 10:10,316.30,0.00
2021-05-24 10:20,282.80,0.00
2021-05-24 10:30,374.10,0.00
2021-05-24 10:40,299.60,0.00
2021-05-24 10:50,417.00,0.00
2021-05-24 11:00,165.90,0.00
2021-05-24 11:10,207.60,0.00
2021-05-24 11:20,171.10,0.00
2021-05-24 11:30,196.10,0.00
2021-05-24 11:40,209.40,0.00
2021-05-24 11:50,157.80,0.00
2021-05-24 12:00,168.00,0.00
2021-05-24 12:10,170.60,0.00
2021-05-24 12:20,157.70,0.00
2021-05-24 12:30,159.90,0.00
2021-05-24 12:40,160.40,0.00
2021-05-24 12:50,180.00,0.00
2021-05-24 13:00,121.70,0.00
2021-05-24 13:10,91.60,0.00
2021-05-24 13:20,83.70,0.00
2021-05-24 13:30,82.80,0.00
2021-05-24 13:40,89.00,0.00
2021-05-24 13:50,92.50,0.00
2021-05-24 14:00,83.00,0.00
2021-05-24 14:10,80.10,0.00
2021-05-24 14:20,73.40,0.00
2021-05-24 14:30,75.10,0.00
2021-05-24 14:40,84.50,0.00
2021-05-24 14:50,76.10,0.00
2021-05-24 15:00,73.50,0.00
2021-05-24 15:10,73.20,0.00
2021-05-24 15:20,73.40,0.00
2021-05-24 15:30,82.50,0.00
2021-05-24 15:40,79.80,0.00
2021-05-24 15:50,73.40,0.00
2021-05-24 16:00,76.10,0.00
2021-05-24 16:10,80.20,0.00
2021-05-24 16:20,104.20,0.00
2021-05-24 16:30,108.30,0.00
2021-05-24 16:40,94.40,0.00
2021-05-24 16:50,94.20,0.00
2021-05-24 17:00,94.60,0.00
2021-05-24 17:10,74.10,0.00
2021-05-24 17:20,90.70,0.00
2021-05-24 17:30,83.30,0.00
2021-05-24 17:40,79.60,0.00
2021-05-24 17:50,79.30,0.00
2021-05-24 18:00,75.90,0.00
2021-05-24 18:10,81.10,0.00
2021-05-24 18:20,80.40,0.00
2021-05-24 18:30,73.00,0.00
2021-05-24 18:40,73.20,0.00
2021-05-24 18:50,73.00,0.00
2021-05-24 19:00,81.80,0.00
2021-05-24 19:10,89.80,0.00
2021-05-24 19:20,81.20,0.00
2021-05-24 19:30,82.00,0.00
2021-05-24 19:40,84.60,0.00
2021-05-24 19:50,78.40,0.00
2021-05-24 20:00,89.50,0.00
2021-05-24 20:10,82.50,0.00
2021-05-24 20:20,78.30,0.00
2021-05-24 20:30,78.60,0.00
2021-05-24 20:40,78.60,0.00
2021-05-24 20:50,92.60,0.00
2021-05-24 21:00,92.90,0.00
2021-05-24 21:10,84.80,0.00
2021-05-24 21:20,84.70,0.00
2021-05-24 21:30,84.60,0.00
2021-05-24 21:40,88.70,0.00
2021-05-24 21:50,95.90,0.00
2021-05-24 22:00,86.00,0.00
2021-05-24 22:10,84.50,0.00
2021-05-24 22:20,78.30,0.00
2021-05-24 22:30,78.20,0.00
2021-05-24 22:40,88.90,0.00
2021-05-24 22:50,82.70,0.00
2021-05-24 23:00,78.60,0.00
2021-05-24 23:10,78.40,0.00
2021-05-24 23:20,78.40,0.00
2021-05-24 23:30,84.90,0.00
2021-05-24 23:40,86.40,0.00
2021-05-24 23:50,78.00,0.00
2021-05-25 00:00,76.90,0.00
2021-05-25 00:10,78.50,0.00
2021-05-25 00:20,80.20,0.00
2021-05-25 00:30,89.30,0.00
2021-05-25 00:40,80.50,0.00
2021-05-25 00:50,78.00,0.00
2021-05-25 01:00,78.20,0.00
2021-05-25 01:10,78.10,0.00
2021-05-25 01:20,87.30,0.00
2021-05-25 01:30,84.80,0.00
2021-05-25 01:40,79.60,0.00
2021-05-25 01:50,79.60,0.00
2021-05-25 02:00,82.70,0.00
2021-05-25 02:10,90.70,0.00
2021-05-25 02:20,95.70,0.00
2021-05-25 02:30,83.40,0.00
2021-05-25 02:40,82.30,0.00
2021-05-25 02:50,80.40,0.00
2021-05-25 03:00,77.20,0.00
2021-05-25 03:10,85.20,0.00
2021-05-25 03:20,77.90,0.00
2021-05-25 03:30,74.50,0.00
2021-05-25 03:40,73.90,0.00
2021-05-25 03:50,68.70,0.00
2021-05-25 04:00,70.80,0.00
2021-05-25 04:10,72.40,0.00
2021-05-25 04:20,70.60,0.00
2021-05-25 04:30,70.30,0.00
2021-05-25 04:40,70.00,0.00
2021-05-25 04:50,223.50,0.00
2021-05-25 05:00,155.10,0.00
2021-05-25 05:10,142.00,0.00
2021-05-25 05:20,323.80,0.00
2021-05-25 05:30,160.00,0.00
2021-05-25 05:40,173.70,0.00
2021-05-25 05:50,171.30,0.00
2021-05-25 06:00,156.80,0.00
2021-05-25 06:10,160.40,0.00
2021-05-25 06:20,277.00,0.00
2021-05-25 06:30,179.00,0.00
2021-05-25 06:40,189.00,0.00
2021-05-25 06:50,230.20,0.00
2021-05-25 07:00,184.00,0.00
2021-05-25 07:10,178.20,0.00
2021-05-25 07:20,169.80,0.00
2021-05-25 07:30,181.50,0.00
2021-05-25 07:40,184.30,0.00
2021-05-25 07:50,175.40,0.00
2021-05-25 08:00,196.30,0.00
2021-05-25 08:10,181.80,0.00
2021-05-25 08:20,360.00,0.00
2021-05-25 08:30,192.40,0.00
2021-05-25 08:40,200.80,0.00
2021-05-25 08:50,190.50,0.00
